case_id,lens_id,display_key,title,owners,inventors,legal_status,opportunity_type,lens_in_catalog,ri_notes
auto_american_power_alta_energia_fases,109-456-327-850-313,BR 112012003835 A2,ups de alta energia de três fases,,NIELSEN HENNING R,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_american_power_aparelho_fonte_para_sistema_todo,191-381-162-249-377,BR PI0910995 A2,"aparelho, sistema e método para uma fonte ups",,COHEN DANIEL C;;COLUCCI DAVID A;;SPITAELS JAMES S;;MELANSON MARK R,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_american_power_bipolares_carregador_entradas_isolado,010-738-968-129-273,BR PI0911263 A2,carregador não isolado com entradas bipolares,,SAMSTAD JEFFREY B,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_american_power_calibration_converters_current_parallel_power_se,156-930-406-571-945,IN 6221DEN2014 A,CALIBRATION OF CURRENT SENSORS IN PARALLEL POWER CONVERTERS,,BERARD OLIVIER,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_american_tourister_handle_luggage_pull,183-565-414-850-027,EP 0536389 A1,LUGGAGE WITH PULL HANDLE.,,BIEBER DAVID;;LIU SHAUMIN,DISCONTINUED,platform,false,Deduped patent family (2 of 3 records); review scope and naming.
auto_american_tourister_handle_luggage_pull,085-313-274-279-899,WO 1992/019122 A1,LUGGAGE WITH PULL HANDLE,,BIEBER DAVID;;LIU SHAUMIN,PENDING,platform,false,Deduped patent family (2 of 3 records); review scope and naming.
auto_american_tourister_unknown_invention,089-836-207-086-761,BG 96936 A,КУФАР С ИЗТЕГЛЯЩА СЕ ДРЪЖКА,,CARPENTER LESTER;;SCHMITT WAYNE;;SNELL LAURENCE;;BIEBER DAVID,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amogreentech_amolifescience_bocal_dispositivo_eletrofia_inje_mesmo_para_usan,175-290-116-792-981,BR PI1010699 A2,bocal de injeção para eletrofiação e dispositivo de eletrofiação usando o mesmo,"AMOGREENTECH CO., LTD. (KR) , AMOLIFESCIENCE CO., (2017-06-27)",JO BYUNGGWANG;;KIM CHAN;;KIM CHEOLHYEON;;SEO INYONG;;KIM JAEHWAN;;SUH SANGCHUL;;LEE SEUNGHOON,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amogreentech_anvendende_jkapacitets_katalytisk_konverter_meta,156-047-931-799-574,DK 2556886 T3,Højkapacitets-metalkatalysatorbærer og katalytisk konverter anvendende samme,,KIM MYOUNG SOO;;KO SUN HWAN;;HUR TAE HYUN;;KIM TONG BOK;;YANG SUNG CHUL,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amogreentech_capacidade_catal_catalisador_conversor_emprega_g,075-587-767-739-975,BR 112012025288 A2,suporte de catalisador de metal de grande capacidade e conversor catalítico que emprega o mesmo,,MOON MYOUNG SOO;;LEE SUN-HWAN;;YANG SUNG CHUL;;HUR TAE HYUN;;KIM TONG BOK,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amoluxe_anvendende_belysningsapparat_lysdiode,034-570-053-915-14X,DK 2378193 T3,Belysningsapparat anvendende lysdiode,,LEE JAE YEONG;;JEONG SANG DONG;;YOON TAE GI,ACTIVE,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amoluxe_anvender_belysningsapparat_lysediode,081-964-033-747-747,DK 2235433 T3,"BELYSNINGSAPPARAT, DER ANVENDER EN LYSEDIODE",,GILL JASON JAE,ACTIVE,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amoluxe_luzes,102-129-778-954-020,BR 112012025856 A2,luzes de rua de led,,RYU DO HAENG;;LEE JAE YEONG;;GIL JASON JAE;;JEONG SANG DONG;;LEE YUN NA,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amphenol_phoenix_avaus_liukutyyppinen_solukkopuhelimen_sulkulaite,195-563-552-409-631,FI 20060082 A0,Solukkopuhelimen liukutyyppinen avaus- ja sulkulaite,"AMPHENOL PHOENIX CO., LTD (2008-02-19)",HAN YOUNG-SOO;;KANG SEONG SIK,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amtrol_licensing_accommodating_bladder_changes_characteristics_de,099-310-041-013-269,WO 2017/015448 A1,MULTI-LAYERED GAS-FILLED BLADDER FOR ACCOMMODATING CHANGES IN FLUID CHARACTERISTICS WITHIN A FLUID DELIVERY SYSTEM,,COGLIATI MICHAEL;;VAN HAAREN CHRISTOPHER A,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amtrol_licensing_cylinder_handle_portable,165-448-308-779-604,US 12631297 B2,Handle for a portable cylinder,,Carlos Aguiar;;Pedro Alexandre Queiros Oliveira Silva Vieira;;Tiago Teixeira Rego De Oliveira,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amtrol_licensing_generering_indretning_mning_sammensat_tank_turbu,020-689-886-554-174,DK 2622143 T3,INDRETNING TIL GENERERING AF TURBULENT STRØMNING I EN SAMMENSAT TANK,,BARETTA DAVID III;;VAN HAAREN CHRISTOPHER A,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_antaya_tech_free_indium_lead_silver_solder,179-144-347-458-446,WO 2016/186954 A1,INDIUM-TIN-SILVER BASED LEAD FREE SOLDER,,PEREIRA JOHN;;ANTAYA STEPHEN C,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_antaya_technologies_chumbo_composi_livre_solda,181-116-809-032-620,BR 112013019849 A2,composição de solda livre de chumbo,,MACKIN ALEXANDRA M;;HWANG JENNIE S;;PEREIRA JOHN;;GONSALVES JOSEPH C,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_astro_dati_dispositivo_registrazione_sopporto_termosen,113-332-134-284-052,IT 8867147 A0,DISPOSITIVO PER LA REGISTRAZIONE DI DATI SU UN SOPPORTO TERMOSENSIBILE,,SULLIVAN MICHAEL J;;GASKILL DAVID M;;ONDIS ALBERT W,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_audet_gerard_means_mounting_razor,037-727-133-921-349,GB 2147203 B,RAZOR WITH MOUNTING MEANS,,AUDET GERARD,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_audet_gerard_means_mounting_razor,162-088-507-498-041,GB 2147203 A,Razor with mounting means,,AUDET GERARD,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_austem_assento_faixa,046-654-438-481-331,BR 112013026692 A2,faixa de assento,,OH BUM SUK;;KIM HOON;;PARK YOUNG JIN,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_austem_controle_reclinador,098-092-004-197-506,BR 112012013054 A2,reclinador com controle.,,CHAE SU MIM;;KIM WON KEE,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_avco_corp_apparatus_rivet_setting,115-591-089-558-200,WO 1992/004156 A1,RIVET SETTING APPARATUS AND METHOD OF SETTING A RIVET,,HOWARD STEPHEN FRANKLIN;;HOPKINS TERRY WAYNE,PENDING,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_avco_corp_carbon_oxydation_protection,040-409-001-645-340,CA 1328057 C,OXYDATION PROTECTION SYSTEM FOR CARBON,,HASELKORN MICHAEL H,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_avco_corp_critical_curvature_equal_fiber_having_less_optic,075-878-933-652-091,WO 1993/004350 A1,OPTICAL FIBER STRAIN TRANSDUCER HAVING A RADIUS OF CURVATURE EQUAL TO OR LESS THAN A CRITICAL RADIUS OF CURVATURE,,HOUGHTON JAMES RICHARD;;WILSON DALE ALAN;;WOOD ROBERT LEE;;TAY ANDREW KHUNG-CHUE;;DEMIRDOGEN ABDULLAH CANER,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_avco_corp_distribution_electromagnetic_power,089-356-115-032-173,WO 1994/000890 A1,ELECTROMAGNETIC POWER DISTRIBUTION SYSTEM,,BRYANOS JAMES;;SOULE TIMOTHY;;HARRIS MICHAEL,PATENTED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_avco_corp_fireproofing_panel,162-311-839-478-185,CA 2066133 A1,FIREPROOFING PANEL SYSTEM,,CASTLE GEORGE K;;BLAKE MELVYN,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_baek_gyeong_calzoncillo_comprenden_donde_escroto_funcional_g,098-995-935-582-768,CL 2011002536 A1,"Calzoncillo funcional para hombre, que comprenden un miembro soportador de pene, un miembro soportador de escroto y un miembro posterior, en donde se generan un receptaculo para el pene y un receptaculo para el escroto, con una primera, segunda y tercera seccion de plegado para soporte del pene y escroto.",,BAEK GYEONG-SU,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_baek_gyeong_functional_underpants,001-832-758-060-276,ZA 201107179 B,FUNCTIONAL UNDERPANTS FOR MEN,,BAEK GYEONG-SU,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_baker_reginald_cats_playhouse,068-725-742-450-402,GB 2244639 A,PLAYHOUSE FOR CATS,,BAKER REGINALD D,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_bassel_diebo_aprendizaje_autom_automatizado_dicos_dise_implan,189-255-564-432-781,CL 2025002322 A1,Diseño automatizado de implantes ortopédicos con aprendizaje automático y métodos para su uso.,,BASSEL G DIEBO;;ALAN H DANIELS;;MILES C WILSON,PENDING,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_benson_merritt_holder,119-328-441-566-435,WO 1991/010389 A1,KEY HOLDER,,BENSON MERRITT D,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_billion_industry_bonding_container_including_label_mounting_packa,047-273-773-081-703,WO 2026/101134 A1,PACKAGING CONTAINER INCLUDING NON-BONDING LABEL MOUNTING PART,,"IM, Se Mi",UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_biological_illumination_afstemmelig_biologisk_frembringelse_justeret_lam,055-833-539-044-843,DK 3139081 T3,AFSTEMMELIG LED-LAMPE TIL FREMBRINGELSE AF BIOLOGISK JUSTERET LYS,,MAXIK FREDRIC S;;BARTINE DAVID E;;SOLER ROBERT R;;GROVE ELIZA KATAR,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_biopid_corp_aliviar_atadura_doen_envolvendo_exsuda_para_pele,098-269-280-641-432,BR 112013000945 A2,atadura para tratar doenças da pele e para aliviar os sintomas de doenças da pele envolvendo exsudação das proteínas do sangue,,CHOI SEONG HYUN,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_biosurfaces_2013_article_electrospinning_making_medical_suitable,062-183-457-030-474,US 8771582 B2,Electrospinning process for making a textile suitable for use as a medical article,BIOSURFACES INC (2013-10-09);;CLEMSON UNIVERSITY (2013-12-12);;RHODE ISLAND BOARD OF EDUCATION (2013-11-08),PHANEUF MATTHEW D;;BROWN PHILIP J;;BIDE MARTIN J,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_biosurfaces_2013_drug_genetic_materials_nanofibrous_protein_relea,120-556-008-723-84X,US 10328032 B2,"Nanofibrous materials as drug, protein, or genetic release vehicles",BIOSURFACES INC (2013-10-09);;CLEMSON UNIVERSITY (2013-12-12);;RHODE ISLAND BOARD OF EDUCATION (2013-11-08),PHANEUF MATTHEW D;;BROWN PHILIP J;;BIDE MARTIN J,ACTIVE,therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_biosurfaces_2014_biocomposite_graft_nanofibrous_prosthetic_vascul,097-255-211-802-999,US 7413575 B2,Nanofibrous biocomposite prosthetic vascular graft,BIOSURFACES INC (2014-12-19);;CLEMSON UNIVERSITY (2015-01-06);;RHODE ISLAND BOARD OF EDUCATION (2014-12-31),PHANEUF MATTHEW D;;BROWN PHILIP J;;BIDE MARTIN J,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_biosurfaces_2014_biocomposite_graft_nanofibrous_prosthetic_vascul,066-371-687-843-079,US 2006/0129234 A1,Nanofibrous biocomposite prosthetic vascular graft,BIOSURFACES INC (2014-12-19);;CLEMSON UNIVERSITY (2015-01-06);;RHODE ISLAND BOARD OF EDUCATION (2014-12-31),PHANEUF MATTHEW D;;BROWN PHILIP J;;BIDE MARTIN J,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_biosurfaces_2014_drug_genetic_materials_nanofibrous_protein_relea,073-690-978-081-475,US 10441550 B2,"Nanofibrous materials as drug, protein, or genetic release vehicles",BIOSURFACES INC (2014-12-19);;CLEMSON UNIVERSITY (2015-06-06);;RHODE ISLAND BOARD OF EDUCATION (2014-12-31),PHANEUF MATTHEW D;;BROWN PHILIP J;;BIDE MARTIN J,ACTIVE,therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_boryung_biopharma_cultivation_live_oral_preparing_typhoid_vaccine,077-014-280-423-682,GB 2248241 A,Cultivation method for preparing an oral live typhoid vaccine,,PARK BONG WHA,EXPIRED,therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_boston_scient_bladder_mapping_smart,165-808-985-791-965,WO 2017/024135 A1,SMART DEVICE FOR BLADDER MAPPING,,NAGALE SANDRA;;SHOME SHIBAJI;;HARRAH TIMOTHY;;BODEN MARK;;SHUROS ALLAN;;CLARK BRYAN;;CHIAVETTA AMEDEO;;SWANSON LYNNE;;WE,PENDING,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_bradley_milton_elemento_emettitore_giocattolo_luce,088-308-948-023-885,IT 8667025 A0,GIOCATTOLO CON ELEMENTO EMETTITORE DI LUCE,,BAIERA BERNARD LOOMIS VINCENT;;CALDWELL BENNIE J,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brightstar_global_digital_digitalization_discs_secure_stored_tradi,010-795-200-099-426,US 2026/0141788 A1,SECURE DIGITALIZATION OF DATA TRADITIONALLY STORED ON DIGITAL VERSATILE DISCS,,Veniero Merlini;;Gianluca Ragnoni;;Emanuele Martire;;Aniello Raviele,UNKNOWN,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brightstar_global_lottery_machine_ticket_vending,182-769-911-698-933,US 12633199 B2,Lottery ticket vending machine,,Stewart Thoeni;;Paul A. Bucci;;Thomas Quaranta;;Wayne Forsey;;Herminio Avila,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_broida_marna_absorbent_medical,030-418-099-307-121,EP 0485424 A1,ABSORBENT PAD FOR MEDICAL USE.,,BROIDA MARNA,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_broida_marna_absorbent_medical,058-859-740-219-734,WO 1991/001702 A1,ABSORBENT PAD FOR MEDICAL USE,,BROIDA MARNA,PENDING,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brooks_lamar_agents_moisture_thixotropic,015-861-915-834-37X,WO 1994/001376 A1,"LOW MOISTURE THIXOTROPIC AGENTS, METHODS AND USES",,BROOKS LAMAR E;;BROOKS GERALD L,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_john_differential_forming_screw,191-093-496-325-900,GB 2189863 A,A differential screw and a web forming die,,CARLSEN RICHARD A,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_sharpe_amplifier_display_electronic_gage,150-599-844-781-402,WO 1989/009926 A1,ELECTRONIC GAGE AMPLIFIER AND DISPLAY,,SPINK STANLEY T JR,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_sharpe_auxiliary_bearing_having_reservoir,125-785-870-376-235,EP 0457835 A1,GAS BEARING HAVING AN AUXILIARY RESERVOIR.,,HELMS ISRAEL F,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_auxiliary_bearing_having_reservoir,067-446-396-742-112,WO 1990/009531 A1,GAS BEARING HAVING AN AUXILIARY RESERVOIR,,HELMS ISRAEL F,PENDING,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_block_gage_stacked_step,041-345-725-957-08X,EP 0586563 A1,STACKED BLOCK STEP GAGE.,,BECKWITH WALTER L JR,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_block_gage_stacked_step,010-347-148-290-784,WO 1992/021930 A1,STACKED BLOCK STEP GAGE,,BECKWITH WALTER L JR,PATENTED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_calibration_coordinate_machine_measuring,080-138-275-358-604,EP 0386115 B1,CALIBRATION SYSTEM FOR COORDINATE MEASURING MACHINE.,,BECKWITH WALTER L JR,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_calibration_coordinate_machine_measuring,161-984-569-767-955,EP 0386115 A1,CALIBRATION SYSTEM FOR COORDINATE MEASURING MACHINE.,,BECKWITH WALTER L JR,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_sharpe_coordinate_dampening_machine_measuring_vibration,002-370-057-183-882,WO 1991/003707 A1,COORDINATE MEASURING MACHINE WITH VIBRATION DAMPENING SYSTEM,,HELMS ISRAEL F,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_sharpe_dimensions_measuring_object_three,005-152-766-170-180,EP 0216041 B1,PROCESS AND DEVICE FOR MEASURING AN OBJECT IN THREE DIMENSIONS,,"BRAMAN, DAVID P.;;HONER, A. MICHAEL",EXPIRED,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_ace2_cells_enters_host_induced_infection_prevent,077-960-637-991-633,US 2023/0312752 A1,"METHODS FOR PREVENTING, REVERSING OR TREATING AN INFECTION INDUCED BY A VIRUS THAT ENTERS HOST CELLS VIA ACE2 RECEPTOR",BROWN UNIVERSITY (2023-03-07),ELIAS JACK A;;LEE CHUN GEUN;;KAMLE SUCHITRA;;MA BING;;LEE CHANGMIN,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_achieve_administration_following_mucosal_oral_pa,164-035-847-872-873,US 2025/0144042 A1,COMPOSITIONS AND METHODS TO ACHIEVE SYSTEMIC UPTAKE OF PARTICLES FOLLOWING ORAL OR MUCOSAL ADMINISTRATION,BROWN UNIVERSITY (2023-07-02),MATHIOWITZ EDITH;;AZAGURY AHARON;;MILOVANOVIC KOSTA;;BAPTISTA CAMERON;;JONES CARDER;;DARLING ERIC,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_acidosis_cancer_cell_chemotherapy_efficacy_envir,004-879-048-470-876,US 2022/0313714 A1,pH REGULATING HYDROGELS THAT NEUTRALIZE CANCER CELL ENVIRONMENT ACIDOSIS AND INCREASE CHEMOTHERAPY EFFICACY,BROWN UNIVERSITY (2022-04-08),SRIVASTAVA VIKAS;;SANTOKI SAVAN;;AHMED ZAHRA;;MAYS GAVIN,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_across_aging_beta_convolutional_dictionary_disea,061-539-903-004-734,US 2024/0366141 A1,"DISSECTING BETA WAVEFORMS USING CONVOLUTIONAL DICTIONARY LEARNING ACROSS SENSORY PERCEPTION, AGING, AND DISEASE",BROWN UNIVERSITY (2024-02-04),JONES STEPHANIE;;ZHOU DAVID,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_active_agents_delivery_improved_nanoparticle_ora,001-305-675-395-797,US 8673359 B2,Nanoparticle compositions and methods for improved oral delivery of active agents,BROWN UNIVERSITY (2011-07-27),CHO DANIEL;;REINEKE JOSHUA;;MATHIOWITZ EDITH;;LAULICHT BRYAN,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_university_active_agents_delivery_improved_nanoparticle_ora,045-834-303-043-846,US 2012/0009267 A1,NANOPARTICLE COMPOSITIONS AND METHODS FOR IMPROVED ORAL DELIVERY OF ACTIVE AGENTS,BROWN UNIVERSITY (2011-07-27),CHO DANIEL;;REINEKE JOSHUA;;MATHIOWITZ EDITH;;LAULICHT BRYAN,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_university_aggregation_design_prevent_protein_sequence_ther,151-336-509-992-626,US 2024/0262875 A1,PROTEIN SEQUENCE DESIGN METHODS AND USES THEREOF TO PREVENT PROTEIN AGGREGATION,BROWN UNIVERSITY (2024-01-11),FAWZI NICOLAS LUX,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_analoges_cb002_checkpoint_molecule_pathway_phase,172-939-060-865-33X,US 2023/0219957 A1,SMALL MOLECULE CB002-ANALOGES RESTORE THE P53 PATHWAY AND TARGET S-PHASE CHECKPOINT,BROWN UNIVERSITY (2020-05-18),EL-DEIRY WAFIK S;;HERNANDEZ BORRERO LIZ J,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_analyzing_audio_breathing_more_signals,056-969-541-015-450,US 2023/0225695 A1,ANALYZING A PATIENT'S BREATHING BASED ON ONE OR MORE AUDIO SIGNALS,BROWN UNIVERSITY (2023-03-22),DODSON CHRISTOPHER M;;ZIA RASHID;;ROSE CHRISTOPHER,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_anti_hydrogels_loaded_microbial_tunable,136-020-049-315-67X,US 10058506 B2,Tunable anti-microbial loaded hydrogels,BROWN UNIVERSITY (2015-11-16),SHUKLA ANITA;;SHUKLA SHASHANK,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_university_antibiotic_dysbiosis_fiber_induced_metabolism_mi,051-651-867-568-31X,US 2024/0180955 A1,FIBER SUPPLEMENTATION PROTECTS FROM ANTIBIOTIC-INDUCED GUT MICROBIOME DYSBIOSIS BY MODULATING REDOX METABOLISM,BROWN UNIVERSITY (2022-10-27),BELENKY PETER;;PENUMUTCHU SWATHI,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_antifungal_aspartic_hydrogels_protease_triggered,069-798-178-512-417,US 2022/0265833 A1,ASPARTIC PROTEASE-TRIGGERED ANTIFUNGAL HYDROGELS,BROWN UNIVERSITY (2017-11-30),SHUKLA ANITA;;VERA-GONZALEZ NOEL,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,034-379-863-602-916,US 11273124 B2,Antifungal nanoparticles for targeted treatment of fungal infections,BROWN UNIVERSITY (2020-03-21),SHUKLA ANITA;;COWLES SARAH;;VERA-GONZALEZ NOEL;;BAILEY-HYTHOLT CHRISTINA;;SILVERT ELI,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_university_antipathogenic_having_nanoclusters_selenium_surf,114-731-819-979-759,US 9259005 B2,Antipathogenic surfaces having selenium nanoclusters,BROWN UNIVERSITY (2013-04-25),WEBSTER THOMAS J;;TRAN PHONG ANH,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_brown_university_apparatus_assay_cell_viability,152-916-521-994-058,EP 0171896 B1,CELL VIABILITY ASSAY METHODS AND APPARATUS,,"ROTMAN, M. BORIS",EXPIRED,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
