case_id,title_clean,program_family,precedent_rank,precedent_type,precedent_name,precedent_stage,precedent_notes,precedent_url,inferred_development,inferred_financing,inferred_team,total_raised_usd_est,last_round_usd_est,value_anchor_usd,value_anchor_type,value_source_url,financing_strategy,validation_status,confidence,source
auto_brown_university_interrogation_neural_platform,Brown — neural interrogation platform,neuro_implant_generic,1,startup,NeuroPace,public,Brain implantable sensing/stimulation,https://www.neuropace.com/,PMA + post-market,Public,Neurosurgery + neurology,540000000,,540000000,market_cap,https://investors.neuropace.com/,Venture → IPO,verified,high,web_verify_2026_05
auto_brown_university_interrogation_neural_platform,Brown — neural interrogation platform,neuro_implant_generic,2,startup,Synchron,pivotal,Implantable neural interface,https://synchron.com/,Pivotal trial,$345M total funding,Interventional neurology,345000000,,345000000,total_raised,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,Late-stage VC,verified,high,web_verify_2026_05
auto_brown_university_interrogation_neural_platform,Brown — neural interrogation platform,neuro_implant_generic,3,startup,Blackrock Neurotech,private,Research-grade implants,https://www.blackrockneuro.com/,Clinical translation,Strategic,Neurosurgery research,,,,,,Grants + strategic,suggested,medium,web_search_2026_03
auto_noramco_2020_acetate_buprenorphine_preparing_salt,Acetate salt buprenorphine and methods for Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_noramco_2020_acetate_buprenorphine_preparing_salt,Acetate salt buprenorphine and methods for Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_noramco_2020_acetate_buprenorphine_preparing_salt,Acetate salt buprenorphine and methods for Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_noramco_2020_dioxanocodides_dioxanomorphides,dioxanomorphides and dioxanocodides Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_noramco_2020_dioxanocodides_dioxanomorphides,dioxanomorphides and dioxanocodides Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_noramco_2020_dioxanocodides_dioxanomorphides,dioxanomorphides and dioxanocodides Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_purdue_pharma_allyl_catalyzed_compounds_metal_preparation_ther,Transition metal catalyzed processes for the Therapeutic Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_purdue_pharma_allyl_catalyzed_compounds_metal_preparation_ther,Transition metal catalyzed processes for the Therapeutic Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_purdue_pharma_allyl_catalyzed_compounds_metal_preparation_ther,Transition metal catalyzed processes for the Therapeutic Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_purdue_pharmaceuticals_having_hydrochloride_hydroxycodeinone_less_oxyco,Oxycodone hydrochloride having less than PPM Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_purdue_pharmaceuticals_having_hydrochloride_hydroxycodeinone_less_oxyco,Oxycodone hydrochloride having less than PPM Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_purdue_pharmaceuticals_having_hydrochloride_hydroxycodeinone_less_oxyco,Oxycodone hydrochloride having less than PPM Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_rhode_island_brain_implantable,Brain implantable device Medical Device Opportunity,neuro_implant_generic,1,startup,NeuroPace,public,Brain implantable sensing/stimulation,https://www.neuropace.com/,PMA + post-market,Public,Neurosurgery + neurology,540000000,,540000000,market_cap,https://investors.neuropace.com/,Venture → IPO,verified,high,web_verify_2026_05
auto_rhode_island_brain_implantable,Brain implantable device Medical Device Opportunity,neuro_implant_generic,2,startup,Synchron,pivotal,Implantable neural interface,https://synchron.com/,Pivotal trial,$345M total funding,Interventional neurology,345000000,,345000000,total_raised,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,Late-stage VC,verified,high,web_verify_2026_05
auto_rhode_island_brain_implantable,Brain implantable device Medical Device Opportunity,neuro_implant_generic,3,startup,Blackrock Neurotech,private,Research-grade implants,https://www.blackrockneuro.com/,Clinical translation,Strategic,Neurosurgery research,,,,,,Grants + strategic,suggested,medium,web_search_2026_03
auto_rhode_island_fixation_intracranial,Intracranial fixation device Medical Device Opportunity,neuro_dbs_hardware,1,incumbent,Boston Scientific Vercise,commercial,DBS leads and IPGs,https://www.bostonscientific.com/,Commercial neurostimulation,Strategic,Neurosurgery,,,,,,OEM partnership,suggested,medium,web_search_2026_03
auto_rhode_island_fixation_intracranial,Intracranial fixation device Medical Device Opportunity,neuro_dbs_hardware,2,incumbent,Medtronic SenSight leads,commercial,Directional DBS leads,https://www.medtronic.com/,510(k) device line extensions,Strategic,Neurosurgery + neurology,,,,,,License to big medtech,suggested,medium,web_search_2026_03
auto_rhode_island_fixation_intracranial,Intracranial fixation device Medical Device Opportunity,neuro_dbs_hardware,3,startup,ClearPoint Neuro,public,MRI-guided intervention platform,https://www.clearpointneuro.com/,Commercial neuro navigation,Public (NASDAQ CLPT); ~$335M market cap (May 2026),Neurosurgery,335000000,,335000000,market_cap,https://finance.yahoo.com/quote/CLPT/,Public medtech,verified,high,web_verify_2026_05
auto_rhodes_technologies_cannabinoid_delivery_dosage_forms_inhalational_i,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_cannabinoid_delivery_dosage_forms_inhalational_i,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_cannabinoid_delivery_dosage_forms_inhalational_i,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_rhodes_technologies_dronabinol_increasing_stability,SYSTEMS AND METHODS FOR INCREASING STABILITY Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_dronabinol_increasing_stability,SYSTEMS AND METHODS FOR INCREASING STABILITY Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_dronabinol_increasing_stability,SYSTEMS AND METHODS FOR INCREASING STABILITY Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_rhodes_technologies_improved_opioid_synthesis,PROCESS FOR IMPROVED OPIOID SYNTHESIS Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_opioid_synthesis,PROCESS FOR IMPROVED OPIOID SYNTHESIS Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_opioid_synthesis,PROCESS FOR IMPROVED OPIOID SYNTHESIS Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_rhodes_technologies_improved_oxymorphone_synthesis,Process for improved oxymorphone synthesis Technology Platform Opportunity,ri_pharma_chemistry,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_oxymorphone_synthesis,Process for improved oxymorphone synthesis Technology Platform Opportunity,ri_pharma_chemistry,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_oxymorphone_synthesis,Process for improved oxymorphone synthesis Technology Platform Opportunity,ri_pharma_chemistry,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_bryant_university_antibacterial_compounds_making_same_using,Brown–Bryant antibacterial diamides,brown_antibacterial,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_bryant_university_antibacterial_compounds_making_same_using,Brown–Bryant antibacterial diamides,brown_antibacterial,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_neurotech_analyte_apparatuses_diffusive_implantable_packag,Neurotech — BAO implant packaging,neurotech_ect,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_neurotech_analyte_apparatuses_diffusive_implantable_packag,Neurotech — BAO implant packaging,neurotech_ect,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_neurotech_cell_disorders_encapsulated_ophthalmic_therapy,Neurotech — encapsulated cell therapy for ophthalmic disease,neurotech_ect,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_neurotech_cell_disorders_encapsulated_ophthalmic_therapy,Neurotech — encapsulated cell therapy for ophthalmic disease,neurotech_ect,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_rhode_island_activity_brain_detecting_pain_using,Saab — brain/spinal pain neurophysiology,saab_pain_neuro,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_rhode_island_activity_brain_detecting_pain_using,Saab — brain/spinal pain neurophysiology,saab_pain_neuro,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_rhode_island_biomarker_brugada_circulating_syndrome,Brugada syndrome circulating biomarker (MESPl),brugada_dx,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_rhode_island_biomarker_brugada_circulating_syndrome,Brugada syndrome circulating biomarker (MESPl),brugada_dx,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_rhode_island_brain_enhancer_primary_rnas_targeting_tumors,Enhancer RNA targeting for primary brain tumors,brain_tumor_rna,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_rhode_island_brain_enhancer_primary_rnas_targeting_tumors,Enhancer RNA targeting for primary brain tumors,brain_tumor_rna,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_rhode_island_conductivity_dose_fields_hydrogel_impacts_skin_t,TTF hydrogel — skin dose from tumor treating fields,ttf_neuro_onc,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_rhode_island_conductivity_dose_fields_hydrogel_impacts_skin_t,TTF hydrogel — skin dose from tumor treating fields,ttf_neuro_onc,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_univ_brown_chiplet_intranet_large_recordiing_scale_stimulat,Brown — chiplet wireless neural intranet,brown_neurotech_implant,1,pharma_deal,Iota Biosciences (neural dust),acquired_2020,Ultrasound-powered wireless neural dust; mm-scale battery-free implants for neural sensing/stimulation,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Preclinical → Astellas R&D partnership → acquisition → Rx+ platform,$15M Series A (May 2018); $127.5M upfront acquisition (Oct 2020) + up to $176.5M milestones; $125M five-year post-close R&D commitment,Neuroengineering + neurosurgery/neurology KOLs,15000000,127500000,304000000,acquisition,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Seed/Series A → corporate R&D → pharma acquisition (Astellas Rx+),verified,high,web_verify_2026_05
auto_univ_brown_chiplet_intranet_large_recordiing_scale_stimulat,Brown — chiplet wireless neural intranet,brown_neurotech_implant,2,startup,Synchron (Stentrode),pivotal_2026,Endovascular BCI; minimally invasive neural interface,https://synchron.com/,IDE → pivotal → PMA,$345M lifetime; $200M Series D (Nov 2025),Interventional neurology + neurosurgery,345000000,200000000,345000000,total_raised,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,Venture → pivotal → PMA,verified,high,web_verify_2026_05
auto_univ_brown_chiplet_intranet_large_recordiing_scale_stimulat,Brown — chiplet wireless neural intranet,brown_neurotech_implant,3,startup,Blackrock Neurotech,private,Utah array; research/clinical BCI,https://www.blackrockneuro.com/,Research grants → clinical trials,Strategic + grants,Neurosurgery + BCI research,,,,,,Strategic pharma/device,suggested,medium,web_search_2026_03
auto_univ_brown_chiplet_intranet_large_recordiing_scale_stimulat,Brown — chiplet wireless neural intranet,brown_neurotech_implant,4,startup,Precision Neuroscience (Layer 7),clinical,Thin-film cortical surface array,https://precisionneuro.io/,Clinical feasibility → IDE,$155M total; $102M Series C (Dec 2024),Neurosurgery + neurology,155000000,102000000,155000000,total_raised,https://www.globenewswire.com/news-release/2024/12/16/2997364/0/en/Precision-Neuroscience-Raises-102-Million-to-Advance-AI-Powered-Brain-Implant.html,VC → strategic (Medtronic partnership),verified,high,web_verify_2026_05
prothera_iaip_ri,ProThera — IAIP biologics for sepsis,prothera_iaip,1,pharma_deal,Takeda (ProThera IAIP license),licensed_2020,Global plasma-derived IAIP license; Takeda leads IND-enabling and funds all development/commercialization,https://www.takeda.com/,IND-enabling collaboration → Takeda-led plasma-derived IAIP development + companion diagnostics,Global licensing deal (Apr 2020); Takeda funds all development and commercialization (terms undisclosed),Critical care + plasma-derived therapeutics,,,,,https://www.takeda.com/en-us/newsroom/news-releases/2020/prothera-biologics-and-takeda-enter-global-licensing-agreement/,Biologic platform → global pharma license,verified,high,web_verify_2026_05
prothera_iaip_ri,ProThera — IAIP biologics for sepsis,prothera_iaip,2,startup,Inflammatix (TriVerity),FDA_cleared_2025,Complementary sepsis host-response diagnostic (Monaghan-adjacent),https://www.inflammatix.com/,FDA clearance (Jan 2025) → ICU sepsis host-response adoption,>$200M private + >$50M grants; $57M Series E (Sep 2024),Critical care,200000000,57000000,200000000,total_raised,https://inflammatix.com/inflammatix-secures-57-million-to-advance-novel-diagnostic-for-patients-with-suspected-infections-or-sepsis/,Hospital contracts + strategic Dx investors,verified,high,web_verify_2026_05
prothera_iaip_ri,ProThera — IAIP biologics for sepsis,prothera_iaip,3,startup,Immunexpress (SeptiCyte RAPID),FDA_cleared,FDA-cleared host-response sepsis dx; Biocartis Idylla platform,https://immunexpress.com/,Host-response gene panel → FDA-cleared SeptiCyte RAPID (1 hr),BARDA DRIVe $744K of $3.2M SeptiCyte/Idylla project (Feb 2019),Critical care + lab medicine,3200000,,3200000,grant,https://www.prnewswire.com/news-releases/immunexpress-secures-barda-contract-for-the-continued-development-of-septicyte-for-the-rapid-and-accurate-diagnosis-of-sepsis-300790510.html,Non-dilutive BARDA → commercial partnership,verified,high,web_verify_2026_05
auto_contech_medical_medical_securing,Contech — medical device securing clip,general_ri_spinout,1,program,NIH SBIR Phase I/II,grant,Typical first external capital for RI university spinouts,https://www.sbir.gov/,Phase I → Phase II → seed,$250K–$2M non-dilutive,PI + university TTO,1500000,,1500000,total_raised,,SBIR then physician syndicate + Slater match,suggested,medium,web_search_2026_03
auto_contech_medical_medical_securing,Contech — medical device securing clip,general_ri_spinout,2,program,Brown/RI Hospital translational funds,grant,Bridge before syndicate,,Pilot grants → spinout,$50K–$500K,Academic PI + clinicians,250000,,250000,total_raised,,Philanthropy + hospital innovation,suggested,medium,web_search_2026_03
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,,1,incumbent,Boston Scientific Vercise,commercial,DBS leads and IPGs,https://www.bostonscientific.com/,Commercial neurostimulation,Strategic,Neurosurgery,,,,,,OEM partnership,suggested,medium,web_search_2026_03
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,,2,incumbent,Medtronic SenSight leads,commercial,Directional DBS leads,https://www.medtronic.com/,510(k) device line extensions,Strategic,Neurosurgery + neurology,,,,,,License to big medtech,suggested,medium,web_search_2026_03
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,,3,startup,ClearPoint Neuro,public,MRI-guided intervention platform,https://www.clearpointneuro.com/,Commercial neuro navigation,Public (NASDAQ CLPT); ~$335M market cap (May 2026),Neurosurgery,335000000,,335000000,market_cap,https://finance.yahoo.com/quote/CLPT/,Public medtech,verified,high,web_verify_2026_05
