case_id,display_name,target,indication,opportunity_type,company,slater_invested,development_stage,required_roles,required_specialties,clinical_tags,target_timeline_weeks,budget_ceiling_usd,capital_gap_usd,ri_institution,ri_ip_source,ri_notes,ri_physician_lead,conflict_tags,llm_inferred_label,llm_label_method,source_type,mocked,confidence_0_1
auto_rhode_island_activity_brain_detecting_pain_using,Pain management Technology Platform Opportunity,Pain management,brain- and spinal-cord–guided pain detection and neuromodulation,platform,Rhode Island Hospital,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,chronic_pain|pain_medicine,20,400000,1200000,Rhode Island ecosystem,lens:066-078-851-468-459,Merged Saab spinal oscillation + pain management families. Pair with Tier A seed cbt_pain_digital_platform_ri (DTx) for full pain stack.,TBD,,Pain management Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cartilage_cell_derived_lines_progenitor,CARTILAGE DERIVED PROGENITOR CELL LINES Technology Platform Opportunity,CARTILAGE-DERIVED PROGENITOR CELL LINES,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:175-254-464-740-928,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,CARTILAGE DERIVED PROGENITOR CELL LINES Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_assembly_nanomaterial_synthesis,NANOMATERIAL COMPOSITIONS SYNTHESIS AND ASSEMBLY Technology Platform Opportunity,"NANOMATERIAL COMPOSITIONS, SYNTHESIS, AND ASSEMBLY",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:008-630-363-858-098,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,NANOMATERIAL COMPOSITIONS SYNTHESIS AND ASSEMBLY Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_arthritis_articular_biomaterial_cartilage_mainte,Biomaterial for Articular Cartilage Maintenance and Technology Platform Opportunity,Biomaterial for Articular Cartilage Maintenance and Treatment of Arthritis,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:075-570-631-531-429,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,Biomaterial for Articular Cartilage Maintenance and Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cyclic_peptides_sensitive,SENSITIVE CYCLIC PEPTIDES Technology Platform Opportunity,pH-SENSITIVE CYCLIC PEPTIDES,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:111-255-593-005-13X,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,SENSITIVE CYCLIC PEPTIDES Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_conductivity_dose_fields_hydrogel_impacts_skin_t,HYDROGEL CONDUCTIVITY IMPACTS SKIN DOSE FROM Technology Platform Opportunity,HYDROGEL CONDUCTIVITY IMPACTS SKIN DOSE FROM TUMOR TREATING FIELDS,optimize Optune/TTF delivery via hydrogel conductivity,medical_device,Rhode Island Hospital,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:166-122-517-000-683,Wong/Lok; accessory to commercial TTF (Optune). IL 315287 + US family.,TBD,,HYDROGEL CONDUCTIVITY IMPACTS SKIN DOSE FROM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_articulating_disorders_inhibitors_joint_nucleosi,Composition and methods for treating articulating Technology Platform Opportunity,Composition and methods for treating articulating joint disorders with nucleosid,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:144-948-829-407-303,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Composition and methods for treating articulating Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_brain_enhancer_primary_rnas_targeting_tumors,Targeting enhancer RNAs for the treatment Technology Platform Opportunity,Targeting enhancer RNAs for the treatment of primary brain tumors,primary brain tumors — enhancer RNA therapeutics,platform,Brown / Rhode Island Hospital,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:007-072-329-032-532,Tapinos/Akobundu; merged auto_univ_brown duplicate case.,TBD,,Targeting enhancer RNAs for the treatment Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cancer_microrna_targeting,TARGETING MICRORNA FOR CANCER TREATMENT Technology Platform Opportunity,TARGETING MICRORNA FOR CANCER TREATMENT,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:019-560-209-089-591,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,TARGETING MICRORNA FOR CANCER TREATMENT Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_ablation_enhanced_enhancement_heat_image_substra,Heat substrate and image enhancement compositions Technology Platform Opportunity,Heat substrate and/or image enhancement compositions and enhanced tissue ablatio,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,interventional_radiology|radiation_oncology|surgical_oncology|thermal_ablation|tumor_ablation,20,400000,1200000,Rhode Island ecosystem,lens:125-280-807-967-127,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Heat substrate and image enhancement compositions Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_bacteria_directed_fungal_infection_prevention_pr,Probiotic bacteria directed prevention treatment fungal Technology Platform Opportunity,Probiotic bacteria-directed prevention or treatment of fungal infection,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:092-758-608-786-07X,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Probiotic bacteria directed prevention treatment fungal Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_gastrointestinal_marker_tumors,Marker for gastrointestinal tumors Technology Platform Opportunity,Marker for gastrointestinal tumors,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:067-485-038-164-019,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Marker for gastrointestinal tumors Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_associated_caused_diseases_halogenated_infection,Methods for treating diseases infections caused Technology Platform Opportunity,Methods for treating diseases or infections caused by or associated with H. pylo,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:162-305-058-119-701,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Methods for treating diseases infections caused Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,Non invasive measurement predict post surgery Technology Platform Opportunity,Non-invasive measurement to predict post-surgery anterior cruciate ligament succ,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:028-631-157-829-827,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Non invasive measurement predict post surgery Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_aspartate_cell_epitope_hydroxylase_induces_respo,Aspartate hydroxylase induces epitope specific cell Technology Platform Opportunity,Aspartate-β-hydroxylase induces epitope-specific T cell responses in tumors,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:027-647-944-238-460,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Aspartate hydroxylase induces epitope specific cell Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cartilage_cathepsin_marker_production_regenerati,Cathepsin marker for cartilage production repair Technology Platform Opportunity,"Cathepsin K as a marker for cartilage production, repair and regeneration",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:011-911-354-396-636,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Cathepsin marker for cartilage production repair Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_field_latching_magnetic_mechanisms_multistable_t,Time varying magnetic field therapy using Technology Platform Opportunity,Time-varying magnetic field therapy using multistable latching mechanisms,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:039-450-656-570-721,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Time varying magnetic field therapy using Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_diagnosis_differential_eosinophilic_esophagitis,Differential expression protein markers for the Technology Platform Opportunity,Differential expression of protein markers for the diagnosis and treatment of eo,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:009-384-834-237-702,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Differential expression protein markers for the Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_disease_injury_orthopedic,Compositions and methods for the treatment Technology Platform Opportunity,Compositions and methods for the treatment of orthopedic disease or injury,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:173-220-008-462-33X,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Compositions and methods for the treatment Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_environmentally_sensitive_thereof,Environmentally Sensitive Compositions and Methods Use Technology Platform Opportunity,Environmentally Sensitive Compositions and Methods of Use Thereof,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:170-293-809-658-816,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Environmentally Sensitive Compositions and Methods Use Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cartilage_hedgehog_inhibition_metachondromatosis,Hedgehog pathway inhibition for cartilage tumor Technology Platform Opportunity,Hedgehog pathway inhibition for cartilage tumor and metachondromatosis treatment,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:172-050-525-995-059,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Hedgehog pathway inhibition for cartilage tumor Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_beta_cancer_hydroxylase_inhibitors,Inhibitors beta hydroxylase for treatment cancer Technology Platform Opportunity,Inhibitors of beta-hydroxylase for treatment of cancer,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:174-770-845-908-864,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Inhibitors beta hydroxylase for treatment cancer Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_fibrosis_inhibition_renal,Inhibition Renal Fibrosis Technology Platform Opportunity,Inhibition of Renal Fibrosis,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:167-676-794-591-355,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Inhibition Renal Fibrosis Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_human_immunodeficiency_infections_virus,Treating human immunodeficiency virus infections Technology Platform Opportunity,Treating human immunodeficiency virus infections,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:175-450-758-147-466,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Treating human immunodeficiency virus infections Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_animal_automated_conditions_control_electrical_i,Non invasive automated electrical control systems Technology Platform Opportunity,Non-invasive automated electrical control systems and methods for monitoring ani,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:112-318-504-290-437,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Non invasive automated electrical control systems Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_advanced_optimization_planning_radiotherapy,Advanced radiotherapy treatment planning optimization Technology Platform Opportunity,Advanced radiotherapy treatment planning optimization,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:116-869-426-574-384,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Advanced radiotherapy treatment planning optimization Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_biomedical_contact_prepared_sensors_surfaces_usa,Biomedical sensors usable prepared contact surfaces Technology Platform Opportunity,Biomedical sensors usable on un-prepared contact surfaces,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_device,20,400000,1200000,Rhode Island ecosystem,lens:169-147-076-186-709,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Biomedical sensors usable prepared contact surfaces Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_driven_joint_musculoskeletal_testing,Driven musculoskeletal joint testing Technology Platform Opportunity,Driven musculoskeletal joint testing,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:005-088-912-132-593,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,Driven musculoskeletal joint testing Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_acrylamides_nitrophenyl_thereof,NITROPHENYL ACRYLAMIDES AND USES THEREOF Technology Platform Opportunity,NITROPHENYL-ACRYLAMIDES AND USES THEREOF,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:076-493-550-070-19X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,NITROPHENYL ACRYLAMIDES AND USES THEREOF Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_damage_glioblastoma_minimize_radiation_susceptib,METHODS FOR THE TREATMENT GLIOBLASTOMA THAT Technology Platform Opportunity,METHODS FOR THE TREATMENT OF GLIOBLASTOMA THAT MINIMIZE RADIATION DAMAGE IN SUSC,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:026-560-744-658-606,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,METHODS FOR THE TREATMENT GLIOBLASTOMA THAT Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_glioblastoma_multiforme_treatments,Glioblastoma Multiforme Treatments Technology Platform Opportunity,Glioblastoma Multiforme Treatments,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:195-072-267-482-833,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Glioblastoma Multiforme Treatments Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_acid_characteristics_folic_improve_injury_ligame,UTILITY VITAMIN FOLIC ACID AND NADH Technology Platform Opportunity,"UTILITY OF VITAMIN D, FOLIC ACID AND NADH TO IMPROVE LIGAMENT INJURY PREVENTION ",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:097-559-539-827-316,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,UTILITY VITAMIN FOLIC ACID AND NADH Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,MRI BASED PIPELINE EVALUATE RISK CONNECTIVE Technology Platform Opportunity,MRI-BASED PIPELINE TO EVALUATE RISK OF CONNECTIVE TISSUE REINJURY,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:087-635-468-540-877,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MRI BASED PIPELINE EVALUATE RISK CONNECTIVE Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_androgen_cancer_immune_innate_killing_modulation,MODULATION ANDROGEN SIGNALING INNATE IMMUNE KILLING Technology Platform Opportunity,MODULATION OF ANDROGEN SIGNALING TO INNATE IMMUNE KILLING OF PROSTATE CANCER,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:113-795-490-239-013,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MODULATION ANDROGEN SIGNALING INNATE IMMUNE KILLING Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_arthritis_prevention_rheumatoid,COMPOSITIONS AND METHODS FOR THE PREVENTION Technology Platform Opportunity,COMPOSITIONS AND METHODS FOR THE PREVENTION OR TREATMENT OF RHEUMATOID ARTHRITIS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:030-621-068-795-496,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,COMPOSITIONS AND METHODS FOR THE PREVENTION Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
