template_id,opportunity_type,study_type,primary_endpoint_type,duration_weeks,cost_usd,required_specialties,required_roles,expected_inflection_weight_0_1,mocked,source_type
ctg_nct07316166,therapeutic,interventional,functional_or_symptom,71,288369,pain medicine|neurology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07300839,therapeutic,interventional,safety,33,10242184,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07290803,platform,observational,functional_or_symptom,428,1900800,hospital medicine|primary care,reviewer|advisor|investigator,0.45,false,ctgov_ri_history_csv
ctg_nct07284979,therapeutic,interventional,functional_or_symptom,119,6652799,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07284433,therapeutic,interventional,clinical_outcome,199,704880,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07266558,therapeutic,interventional,safety,81,82246153,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07259746,digital_therapeutic,interventional,functional_or_symptom,31,2640000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07243652,platform,interventional,functional_or_symptom,213,8553600,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07239336,therapeutic,interventional,functional_or_symptom,104,364320,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07231419,therapeutic,interventional,functional_or_symptom,71,3086752,pain medicine|neurology,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07228130,digital_therapeutic,interventional,feasibility,164,871200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07224347,platform,observational,clinical_outcome,354,36331891,oncology|pathology,reviewer|advisor|investigator,0.55,false,ctgov_ri_history_csv
ctg_nct07222917,therapeutic,interventional,functional_or_symptom,76,700953,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07222046,medical_device,interventional,functional_or_symptom,257,126720,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07221253,therapeutic,interventional,clinical_outcome,186,6098400,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07220083,therapeutic,interventional,biomarker,200,1585584,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.85,false,ctgov_ri_history_csv
ctg_nct07219953,therapeutic,interventional,functional_or_symptom,128,6098400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07219810,medical_device,interventional,functional_or_symptom,208,158400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07218237,digital_therapeutic,interventional,feasibility,135,285120,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07218029,therapeutic,interventional,safety,395,4518360,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07218016,digital_therapeutic,interventional,functional_or_symptom,130,912384,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07217795,digital_therapeutic,interventional,biomarker,143,253440,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07214571,therapeutic,interventional,biomarker,54,438646,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.70,false,ctgov_ri_history_csv
ctg_nct07213804,therapeutic,interventional,clinical_outcome,301,5987520,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07198074,therapeutic,interventional,clinical_outcome,126,1413720,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07198009,platform,interventional,functional_or_symptom,52,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07197476,digital_therapeutic,interventional,feasibility,56,174375,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07196748,therapeutic,interventional,functional_or_symptom,327,4889808,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07196722,therapeutic,interventional,functional_or_symptom,365,6054048,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07195591,medical_device,interventional,clinical_outcome,311,4246704,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07195019,digital_therapeutic,interventional,safety,91,147840,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07192614,therapeutic,interventional,clinical_outcome,182,205920,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07189403,therapeutic,interventional,safety,121,126720,oncology|pathology,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07186101,therapeutic,interventional,functional_or_symptom,172,997920,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07184996,therapeutic,interventional,functional_or_symptom,134,5433120,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07184931,therapeutic,interventional,functional_or_symptom,188,5433120,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07182591,therapeutic,interventional,clinical_outcome,269,608256,oncology|pathology,reviewer|investigator|pilot_designer,0.60,false,ctgov_ri_history_csv
ctg_nct07181161,therapeutic,interventional,clinical_outcome,172,700920,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07177352,platform,interventional,functional_or_symptom,525,72072000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07170917,therapeutic,interventional,functional_or_symptom,129,823680,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07169578,therapeutic,interventional,functional_or_symptom,142,4435200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07167940,medical_device,interventional,functional_or_symptom,208,498960,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07165028,therapeutic,interventional,clinical_outcome,354,24948000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07144631,medical_device,interventional,feasibility,54,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07143669,diagnostic,observational,biomarker,158,855360,hospital medicine|primary care,reviewer|advisor|investigator,0.50,false,ctgov_ri_history_csv
ctg_nct07140783,therapeutic,interventional,functional_or_symptom,25,369600,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07136012,therapeutic,interventional,functional_or_symptom,321,60984000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07129993,therapeutic,interventional,clinical_outcome,225,3492719,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07128628,therapeutic,interventional,functional_or_symptom,53,948496,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07118839,digital_therapeutic,interventional,functional_or_symptom,210,443519,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07118618,therapeutic,interventional,functional_or_symptom,250,475200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07115940,medical_device,interventional,functional_or_symptom,187,1292544,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07113522,therapeutic,interventional,safety,136,554400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07104500,therapeutic,interventional,functional_or_symptom,109,24948000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07104383,therapeutic,interventional,functional_or_symptom,109,6098400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07094308,digital_therapeutic,interventional,functional_or_symptom,208,475200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07092345,digital_therapeutic,interventional,feasibility,206,589248,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07086976,therapeutic,interventional,functional_or_symptom,227,498960,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07086222,therapeutic,interventional,biomarker,51,11220000,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07077707,platform,interventional,functional_or_symptom,169,4656960,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07076160,medical_device,interventional,functional_or_symptom,8,78144,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07073820,therapeutic,interventional,safety,140,142560,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07061977,therapeutic,interventional,clinical_outcome,268,1862783,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07048574,platform,observational,functional_or_symptom,160,1140480,hospital medicine|primary care,reviewer|advisor|investigator,0.45,false,ctgov_ri_history_csv
ctg_nct07047820,therapeutic,observational,functional_or_symptom,60,243692,hospital medicine|primary care,reviewer|advisor|investigator,0.45,false,ctgov_ri_history_csv
ctg_nct07037433,therapeutic,interventional,safety,270,70963200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07036640,platform,interventional,functional_or_symptom,42,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07035210,digital_therapeutic,interventional,functional_or_symptom,14,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07024784,therapeutic,interventional,safety,130,1492920,oncology|pathology,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07015840,digital_therapeutic,interventional,biomarker,73,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07012395,therapeutic,interventional,functional_or_symptom,144,2554200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07011667,therapeutic,interventional,functional_or_symptom,176,3376295,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07011563,digital_therapeutic,interventional,functional_or_symptom,24,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07009106,platform,interventional,functional_or_symptom,47,136806,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07002060,therapeutic,interventional,safety,34,1288861,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07000357,therapeutic,interventional,functional_or_symptom,229,83714400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06998069,therapeutic,interventional,functional_or_symptom,91,107799,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06996782,therapeutic,interventional,safety,169,601920,oncology|pathology,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06995755,digital_therapeutic,interventional,functional_or_symptom,8,57024,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06994923,digital_therapeutic,interventional,feasibility,114,190080,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06989112,therapeutic,interventional,clinical_outcome,307,3326399,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06988306,digital_therapeutic,interventional,functional_or_symptom,223,3098304,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06987513,therapeutic,interventional,functional_or_symptom,54,228461,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06982820,medical_device,interventional,functional_or_symptom,113,538560,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06980025,therapeutic,interventional,functional_or_symptom,191,9979200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06979297,digital_therapeutic,interventional,functional_or_symptom,113,221760,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06976216,therapeutic,interventional,functional_or_symptom,188,3248784,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06974604,therapeutic,interventional,functional_or_symptom,188,237600,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06972264,therapeutic,interventional,functional_or_symptom,120,2661120,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06972056,therapeutic,interventional,functional_or_symptom,229,4229280,pain medicine|neurology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06969950,digital_therapeutic,interventional,functional_or_symptom,54,228461,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06969326,therapeutic,interventional,functional_or_symptom,82,233132,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06965478,digital_therapeutic,interventional,functional_or_symptom,179,1267200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06963827,therapeutic,interventional,biomarker,234,1923768,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.85,false,ctgov_ri_history_csv
ctg_nct06959524,medical_device,interventional,functional_or_symptom,340,5119488,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06953479,therapeutic,interventional,biomarker,111,126720,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct06953271,therapeutic,interventional,functional_or_symptom,85,471815,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06952803,therapeutic,interventional,clinical_outcome,560,3880800,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06952660,therapeutic,interventional,safety,188,316800,oncology|pathology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06952504,therapeutic,interventional,clinical_outcome,365,6225912,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06948058,therapeutic,interventional,functional_or_symptom,126,190080,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06944522,therapeutic,interventional,functional_or_symptom,349,565488,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06942455,digital_therapeutic,interventional,functional_or_symptom,196,950400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06937099,therapeutic,interventional,functional_or_symptom,148,1607760,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06937086,therapeutic,interventional,functional_or_symptom,144,1940400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06935357,therapeutic,interventional,biomarker,212,2516976,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.85,false,ctgov_ri_history_csv
ctg_nct06934525,digital_therapeutic,interventional,functional_or_symptom,195,1587168,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06931158,digital_therapeutic,interventional,functional_or_symptom,104,1077120,pain medicine|neurology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06930508,diagnostic,interventional,feasibility,4,87648,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06924970,therapeutic,interventional,functional_or_symptom,104,233640,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06924281,digital_therapeutic,interventional,feasibility,18,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06921928,therapeutic,interventional,safety,137,463320,oncology|pathology,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06911502,therapeutic,interventional,clinical_outcome,261,2217600,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06909058,digital_therapeutic,interventional,functional_or_symptom,64,320590,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06901531,therapeutic,interventional,clinical_outcome,175,2772000,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06898450,therapeutic,interventional,clinical_outcome,348,530640,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct06896656,digital_therapeutic,interventional,functional_or_symptom,89,271107,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06890338,therapeutic,interventional,functional_or_symptom,219,554400,oncology|pathology,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06886789,digital_therapeutic,interventional,feasibility,226,1267200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06884202,medical_device,interventional,functional_or_symptom,17,271392,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06882798,digital_therapeutic,interventional,functional_or_symptom,144,475200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06881836,therapeutic,interventional,safety,66,670153,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06880796,digital_therapeutic,interventional,functional_or_symptom,213,506880,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06880718,therapeutic,interventional,feasibility,66,134030,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06878872,digital_therapeutic,interventional,functional_or_symptom,95,158400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06876714,therapeutic,interventional,clinical_outcome,599,8449056,oncology|pathology,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct06875622,digital_therapeutic,interventional,functional_or_symptom,191,1552320,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06873698,digital_therapeutic,interventional,functional_or_symptom,192,126720,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06872307,digital_therapeutic,interventional,feasibility,199,950400,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06870812,platform,interventional,functional_or_symptom,248,1900800,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06867718,therapeutic,interventional,functional_or_symptom,46,459292,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct06864208,digital_therapeutic,interventional,biomarker,96,202752,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct06861868,platform,interventional,functional_or_symptom,225,665280,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06858878,therapeutic,interventional,functional_or_symptom,108,6126120,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06858839,therapeutic,interventional,functional_or_symptom,109,21361032,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct06850623,therapeutic,interventional,clinical_outcome,108,99000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct06849869,digital_therapeutic,interventional,functional_or_symptom,212,46949760,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct06848335,digital_therapeutic,interventional,functional_or_symptom,227,817344,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
