case_id,precedent_rank,precedent_type,precedent_name,precedent_stage,precedent_notes,precedent_url,inferred_development,inferred_financing,inferred_team,total_raised_usd_est,last_round_usd_est,value_anchor_usd,value_anchor_type,value_source_url,financing_strategy,validation_status,confidence,source
auto_brown_university_drug_overdose,1,public,Indivior,commercial,Opioid use disorder therapeutics,https://www.indivior.com/,NDA/BLA path,Public (NASDAQ INDV); ~$4.9B market cap; opioid-use-disorder portfolio,Addiction medicine + EM,4870000000,,4870000000,market_cap,https://public.com/stocks/indv/market-cap,Pharma development,verified,high,web_verify_2026_05
auto_brown_university_drug_overdose,2,startup,Harm Reduction Therapeutics,nonprofit_commercial,OTC naloxone model,https://www.harmreductiontherapeutics.org/,Regulatory → distribution,Grants + philanthropy,Public health,,,,,,Non-dilutive + partnerships,suggested,medium,web_search_2026_03
auto_brown_university_implantable_neural_wireless,1,pharma_deal,Iota Biosciences (neural dust),acquired_2020,Ultrasound-powered wireless neural dust; mm-scale battery-free implants for neural sensing/stimulation,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Preclinical → Astellas R&D partnership → acquisition → Rx+ platform,$15M Series A (May 2018); $127.5M upfront acquisition (Oct 2020) + up to $176.5M milestones; $125M five-year post-close R&D commitment,Neuroengineering + neurosurgery/neurology KOLs,15000000,127500000,304000000,acquisition,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Seed/Series A → corporate R&D → pharma acquisition (Astellas Rx+),verified,high,web_verify_2026_05
auto_brown_university_implantable_neural_wireless,2,startup,Synchron (Stentrode),pivotal_2026,Endovascular BCI; minimally invasive neural interface,https://synchron.com/,IDE → pivotal → PMA,$345M lifetime; $200M Series D (Nov 2025),Interventional neurology + neurosurgery,345000000,200000000,345000000,total_raised,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,Venture → pivotal → PMA,verified,high,web_verify_2026_05
auto_brown_university_implantable_neural_wireless,3,startup,Blackrock Neurotech,private,Utah array; research/clinical BCI,https://www.blackrockneuro.com/,Research grants → clinical trials,Strategic + grants,Neurosurgery + BCI research,,,,,,Strategic pharma/device,suggested,medium,web_search_2026_03
auto_brown_university_implantable_neural_wireless,4,startup,Precision Neuroscience (Layer 7),clinical,Thin-film cortical surface array,https://precisionneuro.io/,Clinical feasibility → IDE,$155M total; $102M Series C (Dec 2024),Neurosurgery + neurology,155000000,102000000,155000000,total_raised,https://www.globenewswire.com/news-release/2024/12/16/2997364/0/en/Precision-Neuroscience-Raises-102-Million-to-Advance-AI-Powered-Brain-Implant.html,VC → strategic (Medtronic partnership),verified,high,web_verify_2026_05
auto_noramco_2020_hydrochloride_methylphenidate_synthesis_temperat,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_noramco_2020_hydrochloride_methylphenidate_synthesis_temperat,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_noramco_2020_hydrochloride_methylphenidate_synthesis_temperat,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_regents_university_anti_compounds_inflammatory_inhibition_making_qu,1,research,URI marine natural product program,academic,University marine biodiscovery,https://web.uri.edu/pharmacy/,Grant → lead optimization → spinout,NIH + URI translational,Microbiology + medicinal chemistry,,,,,,Grant → seed biotech,suggested,medium,web_search_2026_03
auto_rhode_island_alloy_array_brain_cord_electrode_invasive_memory,1,incumbent,Boston Scientific Vercise,commercial,DBS leads and IPGs,https://www.bostonscientific.com/,Commercial neurostimulation,Strategic,Neurosurgery,,,,,,OEM partnership,suggested,medium,web_search_2026_03
auto_rhode_island_alloy_array_brain_cord_electrode_invasive_memory,2,incumbent,Medtronic SenSight leads,commercial,Directional DBS leads,https://www.medtronic.com/,510(k) device line extensions,Strategic,Neurosurgery + neurology,,,,,,License to big medtech,suggested,medium,web_search_2026_03
auto_rhode_island_alloy_array_brain_cord_electrode_invasive_memory,3,startup,ClearPoint Neuro,public,MRI-guided intervention platform,https://www.clearpointneuro.com/,Commercial neuro navigation,Public (NASDAQ CLPT); ~$335M market cap (May 2026),Neurosurgery,335000000,,335000000,market_cap,https://finance.yahoo.com/quote/CLPT/,Public medtech,verified,high,web_verify_2026_05
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,1,startup,OrthoPred (DeepKnee),clinical_validation,Autonomous knee MRI interpretation,https://orthopred.com/,CE/FDA software as medical device,Seed/Series A imaging AI,Orthopedics + radiology,,,,,,SaMD + PACS integration,suggested,medium,web_search_2026_03
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,2,startup,AIKESO,early,3D joint reconstruction; surgical planning,https://aikeso.com/,Clinical pilots → FDA,Seed (Switzerland),Orthopedic surgery,,,,,,EU seed → US expansion,suggested,medium,web_search_2026_03
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,3,research,LigaNET (ACL reinjury prediction),research,Multi-modal MRI reinjury model,https://www.medrxiv.org/content/10.1101/2023.07.25.23293102v1,Academic validation → spinout,NIH → seed,Orthopedics + radiology,,,,,,License to SaMD company,suggested,medium,web_search_2026_03
auto_rhode_island_antibacterial_antibiofilm_auranofin_catheter_coa,1,research,Brown/RI Hospital auranofin catheter (published),precommercial,Same invention family; publication + patent,https://engineering.brown.edu/news/2019-03-07/germ-fighting-catheter-coating-may-help-prevent-infections,GLP → 510(k) catheter coating,University translational + Slater,ID + critical care + device,,,,,,Spinout + strategic catheter OEM,suggested,medium,web_search_2026_03
auto_rhode_island_antibacterial_antibiofilm_auranofin_catheter_coa,2,incumbent,CorMedix DefenCath,FDA_approved,Antimicrobial catheter lock; infection prevention,https://www.cormedix.com/,Commercial infection prevention,Public (NASDAQ CRMD); ~$570M market cap; DefenCath commercial,Nephrology/ICU,570000000,,570000000,market_cap,https://www.macrotrends.net/stocks/charts/CRMD/cormedix-inc/market-cap,Regulatory + hospital GPO,verified,high,web_verify_2026_05
auto_rhode_island_antibacterial_antibiofilm_auranofin_catheter_coa,3,research,Frontiers publication (auranofin PU coating),published,Scientific precedent for coating claims,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2019.00037/full,Evidence package for 510(k),Grant-funded science,Academic ID + materials,,,,,,SBIR + device spinout,suggested,medium,web_search_2026_03
auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,1,incumbent,Medtronic Percept (BrainSense),FDA_adaptive_DBS,Closed-loop/adaptive DBS; sensing leads,https://www.medtronic.com/en-us/healthcare-professionals/specialties/neurology/therapies-procedures/deep-brain-stimulation/product-portfolio/percept-family.html,Post-market adaptive DBS rollout,Strategic incumbent (not VC seed),Movement disorders neurology + neurosurgery,,,,,,Out-license or RI spinout vs compete,suggested,medium,web_search_2026_03
auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,2,startup,NeuroPace (RNS),public,Responsive neurostimulation; closed-loop epilepsy,https://www.neuropace.com/,PMA → post-approval studies,Public (NASDAQ NPCE); ~$540M market cap; $100M revenue (FY2025),Epilepsy + neurosurgery,540000000,,540000000,market_cap,https://multiples.vc/public-comps/neuropace-valuation-multiples,Public medtech,verified,high,web_verify_2026_05
auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,3,startup,Newronika (AlphaDBS),investigational_US,Adaptive closed-loop DBS (EU),https://pmc.ncbi.nlm.nih.gov/articles/PMC11524207/,Clinical trials → CE/FDA,EU venture,Movement disorders,,,,,,Venture → strategic,suggested,medium,web_search_2026_03
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,1,startup,mjn-neuro (EPISERAS / mjn-SERAS),commercial_EU,Non-invasive wearable EEG; seizure-risk prediction; CE Class IIa,https://mjn.cat/en/mjn-seras/,Pilot → EU commercial; digital therapeutic + device,Venture-backed med device; regional commercial launch,Neurology/epilepsy KOLs; digital health commercial,,,,,,Device revenue + pharma distribution (Neuraxpharm),suggested,medium,web_search_2026_03
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,2,startup,Theta Neurotech,pre_seed,Wearable adhesive EEG; seizure prediction,https://www.thetaneurotech.com/,Pre-seed → clinical validation → Series A,"~$2M pre-seed (press, 2024)",Epilepsy clinicians + ML engineers,2000000,2000000,2000000,last_round,https://www.thetaneurotech.com/,Seed VC then hospital pilot contracts,estimated,medium,web_verify_2026_05
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,3,startup,Precisis (EASEE),FDA_Breakthrough,Epicranial focal stimulation; multi-electrode; tripolar-adjacent,https://www.precisis.com/,CE marketed → US Breakthrough → pivotal,EU VC + strategic; US IDE path,Epilepsy surgery + neurostimulation,,,,,,Medtech venture → reimbursement,suggested,medium,web_search_2026_03
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,4,startup,UNEEG Medical,commercial,Subcutaneous long-term EEG (minimally invasive monitoring),https://www.uneeg.com/,510(k)/CE; hospital adoption,Growth equity; EU/US subsidiaries,Epilepsy centers; neurology,,,,,,Medtech sales + outcomes data,suggested,medium,web_search_2026_03
auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,1,startup,OrthoPred (DeepKnee),clinical_validation,Autonomous knee MRI interpretation,https://orthopred.com/,CE/FDA software as medical device,Seed/Series A imaging AI,Orthopedics + radiology,,,,,,SaMD + PACS integration,suggested,medium,web_search_2026_03
auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,2,startup,AIKESO,early,3D joint reconstruction; surgical planning,https://aikeso.com/,Clinical pilots → FDA,Seed (Switzerland),Orthopedic surgery,,,,,,EU seed → US expansion,suggested,medium,web_search_2026_03
auto_rhode_island_connective_evaluate_pipeline_reinjury_risk_tissu,3,research,LigaNET (ACL reinjury prediction),research,Multi-modal MRI reinjury model,https://www.medrxiv.org/content/10.1101/2023.07.25.23293102v1,Academic validation → spinout,NIH → seed,Orthopedics + radiology,,,,,,License to SaMD company,suggested,medium,web_search_2026_03
auto_rhode_island_detection_large_occlusion_prediction_vessel,1,startup,Viz.ai,growth,LVO triage + care coordination,https://www.viz.ai/,Health-system SaaS scale,~$289M raised; $1.2B valuation at Series D (Apr 2022),Stroke neurology + radiology,289250000,100000000,1200000000,post_money_valuation,https://www.viz.ai/news/viz-ai-raises-100-million-in-series-d-funding,Enterprise stroke networks,verified,high,web_verify_2026_05
auto_rhode_island_detection_large_occlusion_prediction_vessel,2,startup,RapidAI,growth,LVO + perfusion AI,https://www.rapidai.com/,FDA cleared → hospital contracts,~$100M total; $75M Series C (Jul 2023),Neuro IR + neurology,100000000,75000000,100000000,total_raised,https://www.rapidai.com/press-release/rapid-announces-investment-led-by-vista-credit-partners,Per-study or SaaS pricing,verified,high,web_verify_2026_05
auto_rhodes_technologies_compounds_novel_opioid_thereof,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_compounds_novel_opioid_thereof,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_compounds_novel_opioid_thereof,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_rhodes_technologies_improved_oxycodone_synthesis,1,ri_operating,Rhodes Technologies,operating,RI-based API/opioid manufacturing,https://www.rhodestech.com/,Process validation → commercial supply,Operating cash flow + SSBCI/capex,CMC + regulatory affairs,,,,,,Slater SSBCI + bank; not classic VC,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_oxycodone_synthesis,2,ri_operating,Noramco,operating,Controlled-substance synthesis RI,https://www.noramco.com/,CMC scale-up,Private operating company,Process chemistry + QA,,,,,,Capex expansion financing,suggested,medium,web_search_2026_03
auto_rhodes_technologies_improved_oxycodone_synthesis,3,public,Collegium Pharmaceutical,public,Opioid reformulation commercial model,https://www.collegiumpharma.com/,FDA approvals → commercialization,Public (NASDAQ COLL); ~$1.2B market cap; pain/opioid reformulation model,Pain medicine commercial,1180000000,,1180000000,market_cap,https://finance.yahoo.com/quote/COLL/,Public markets,verified,high,web_verify_2026_05
auto_united_states_communication_facilitating_individuals_speak_spe,1,startup,Pison,growth,Neural sensing + assistive communication,https://pison.com/,Consumer/wearable → clinical,Venture,Neurology + assistive tech,,,,,,VC + strategic,suggested,medium,web_search_2026_03
auto_united_states_communication_facilitating_individuals_speak_spe,2,startup,Neuralink (speech/BCI),clinical_trial,High-bandwidth BCI including speech goals,https://neuralink.com/,IDE clinical trials,$1B+ private,Neurosurgery,1000000000,,1000000000,total_raised,,Late-stage private,suggested,medium,web_search_2026_03
auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,1,startup,Tepha (resorbable polymers),commercial,Absorbable biomaterials for devices,https://www.tephainc.com/,510(k) device components,Growth/medtech,Orthopedics + plastics surgery,,,,,,B2B materials + devices,suggested,medium,web_search_2026_03
auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,2,incumbent,Evonik RESOMER,commercial,Absorbable polymer supply,https://medical.evonik.com/,Supplier partnership,Strategic,Device engineering,,,,,,License materials,suggested,medium,web_search_2026_03
cbt_pain_digital_platform_ri,1,startup,Kaia Health,acquired_2026,Digital MSK/pain; multimodal CBT + motion coach,https://dtxalliance.org/products/kaia-health/,RCT → payer contracts,Acquired by Sword Health for $285M (Jan 2026),Pain medicine + PT + behavioral,,,285000000,acquisition,https://swordhealth.com/newsroom/sword-acquires-kaia-health,B2B employer/payer,verified,high,web_verify_2026_05
cbt_pain_digital_platform_ri,2,startup,Hinge Health,late_private,Virtual MSK; digital pain programs,https://www.hingehealth.com/,Outcomes studies → enterprise sales,~$1.05B pre-IPO VC + $437M IPO (May 2025),PT-led care teams,1487000000,437300000,1487000000,total_raised,https://sacra.com/c/hinge-health/,Growth equity → payer ROI,verified,high,web_verify_2026_05
cbt_pain_digital_platform_ri,3,startup,Sword Health,late_private,AI MSK care; acquired Kaia 2026,https://swordhealth.com,Scale digital pain/MSK,>$500M raised; ~$4B valuation (2025); acquired Kaia for $285M (Jan 2026),Clinical ops + AI,540000000,,4000000000,post_money_valuation,https://swordhealth.com/newsroom/sword-acquires-kaia-health,Enterprise B2B,verified,high,web_verify_2026_05
monaghan_sepsis_diagnostic_ri,1,startup,Inflammatix (TriVerity),FDA_cleared_2025,Host mRNA sepsis/infection; ED workflow,https://www.inflammatix.com/,510(k) → health-system adoption,>$200M private + >$50M grants; $57M Series E (Sep 2024),Critical care + ED + lab medicine,200000000,57000000,200000000,total_raised,https://inflammatix.com/inflammatix-secures-57-million-to-advance-novel-diagnostic-for-patients-with-suspected-infections-or-sepsis/,Dx VC → hospital contracts,verified,high,web_verify_2026_05
monaghan_sepsis_diagnostic_ri,2,startup,Immunexpress (SeptiCyte),FDA_cleared,Host RNA sepsis; PCR on Idylla,https://immunexpress.com/products/,CLIA/LDT → ICU adoption,~$50M+ venture (Biocartis partnership); host-RNA sepsis dx,ICU + infectious disease,50000000,,50000000,total_raised,https://immunexpress.com/,Instrument partnership + test menu,estimated,low,web_verify_2026_05
monaghan_sepsis_diagnostic_ri,3,startup,Presymptom Health (InfectiClear),seed,Host RNA infection; up to 3 days before clinical dx,https://www.presymptomhealth.fuel4vision.co.za/,Validation → NHS pilot → scale,£1.5M seed + grants (2024),Critical care PI; AMR stewardship,1900000,1900000,1900000,total_raised,https://www.presymptomhealth.fuel4vision.co.za/,Grant + seed → health-system pilots,estimated,medium,web_verify_2026_05
nanode_ri,1,startup,Eascra Biotech (Janus base nanoparticles),SBIR_seed,Janus nucleotide delivery; UConn spinout,https://eascrabiotech.com/,SBIR → animal POC → Series A,SBIR/seed stage (UConn spinout); early platform,Drug delivery + oncology/cartilage,500000,100000,500000,total_raised,https://eascrabiotech.com/,SBIR → seed syndicate,estimated,medium,web_verify_2026_05
nanode_ri,2,public,Ionis Pharmaceuticals,public,Oligonucleotide platform,https://www.ionis.com/,Platform → indication spinouts,Public biotech milestones,Clinical pharmacology + neurology,,,,,,Pharma partnerships,suggested,medium,web_search_2026_03
nanode_ri,3,public,Alnylam Pharmaceuticals,public,RNAi delivery platform,https://www.alnylam.com/,Rare disease → broader pipeline,Large-cap biotech,Specialty pharma development,,,,,,Platform partnerships,suggested,medium,web_search_2026_03
theromics_ri,1,ri_operating,Theromics Inc,STTR_510k_path,RI Hospital/Brown origin; HeatSYNC thermal accelerant gel,https://www.theromicsinc.com/,GLP → 510(k) adjunct to RF/MW ablation,NIH STTR + seed; Slater/physician syndicate fit,IR + surgical oncology + Dupuy/Park,,,,,,Grant → seed → strategic device partner,suggested,medium,web_search_2026_03
theromics_ri,2,public,Profound Medical (TULSA-PRO),commercial,MRI-guided thermal ablation platform,https://profoundmedical.com/,Pivotal trials → commercial prostate ablation,Public (NASDAQ PROF); ~$253M market cap (May 2026),Urology/IR; med physics,253000000,,253000000,market_cap,https://stockanalysis.com/stocks/prof/,Public markets + procedure reimbursement,verified,high,web_verify_2026_05
theromics_ri,3,incumbent,Neuwave (Ethicon/J&J),commercial,Microwave ablation incumbent; channel for adjunct gel,https://www.ethicon.com,Market access via device OEM partnership,Strategic partnership vs standalone VC,Interventional radiology + oncology,,,,,,Licensing/co-development with ablation OEM,suggested,medium,web_search_2026_03
phlip_therapeutics_ri,1,ri_operating,pHLIP Inc,clinical_validation,URI/Yale pHLIP spinout; Reshetnyak/Engelman fluorophore and delivery IP,https://phlipinc.com/,Preclinical → IND → fluorescence-guided surgery pilot,Seed + URI/Slater ecosystem; Pacific Partners/Yale investors,Interventional radiology + surgical oncology + pathology,,,,,,Grant → seed syndicate → strategic pharma,suggested,medium,web_search_2026_03
phlip_therapeutics_ri,2,startup,On Target Laboratories (Cytalux),FDA_approved,FDA-approved pafolacianine for fluorescence-guided lung cancer surgery,https://www.ontargetlaboratories.com/,IND → pivotal → FDA approval → hospital adoption,$150M+ venture (estimated),Surgical oncology + IR + pathology,150000000,,150000000,total_raised,https://www.prnewswire.com/news-releases/on-target-laboratories-announces-fda-approval-of-cytalux-pafolacianine-for-intraoperative-identification-of-ovarian-cancer-301412789.html,Dx/imaging VC → hospital contracts,verified,high,web_verify_2026_05
phlip_therapeutics_ri,3,startup,Cybrexa (alphalex),clinical,pHLIP-derived peptide-drug conjugates; possible Yale/URI license path,https://www.cybrexa.com/,Clinical-stage oncology PDC → partnership,Venture-backed clinical biotech,Surgical oncology + medical oncology,,,,,,Clinical VC → pharma partnership,suggested,medium,web_search_2026_03
phlip_therapeutics_ri,4,incumbent,Indocyanine green (ICG),commercial,Incumbent NIR fluorescence imaging agent in surgery,https://www.fda.gov/,Established surgical fluorescence standard,Generic pharmaceutical supply,Surgical oncology + IR,,,,,,Incumbent comparison / differentiation,suggested,medium,web_search_2026_03
prothera_iaip_ri,1,pharma_deal,Takeda (ProThera IAIP license),licensed_2020,Global plasma-derived IAIP license; Takeda funds IND-enabling and commercialization,https://www.takeda.com/,IND-enabling → Takeda-led plasma IAIP trials + companion Dx,Global licensing deal (Apr 2020); Takeda funds all development (terms undisclosed),Critical care + plasma therapeutics,,,,,https://www.takeda.com/en-us/newsroom/news-releases/2020/prothera-biologics-and-takeda-enter-global-licensing-agreement/,Biologic platform → global pharma license,verified,high,web_verify_2026_05
prothera_iaip_ri,2,public,Kamada,commercial,Plasma-derived specialty biologics; FDA-approved hyperimmune portfolio,https://www.kamada.com/,Plasma fractionation → FDA-approved biologics → hospital channel,$95M Saol hyperimmune acquisition (Nov 2021); 6 FDA-approved products,Plasma CMC + hospital formulary,95000000,,95000000,acquisition,https://www.nasdaq.com/press-release/kamada-announces-strategic-transformational-transaction-positioning-the-company-as-a-global-leader-in-the-plasma-derived-hyperimmune-market-through-the-acquisition-of-a-portfolio-of-four-fda-approved-commercial-products,Plasma biologic commercial model,verified,high,web_verify_2026_05
prothera_iaip_ri,3,startup,Lev Pharmaceuticals (Cinryze),acquired_2008,Plasma-derived C1 inhibitor (Cinryze); orphan BLA → ViroPharma acquisition,https://www.fiercebiotech.com/biotech/lev-pharmaceuticals-s-cinryze-receives-fda-approval-for-prophylaxis-against-hereditary,Plasma-derived replacement → orphan BLA → pharma acquisition,ViroPharma acquired Lev ~$442M (Oct 2008),Plasma inflammatory biologics,442900000,,442900000,acquisition,https://www.sec.gov/Archives/edgar/data/1144062/000114420408040150/dex991.htm,Orphan BLA → acquisition,verified,high,web_verify_2026_05
prothera_iaip_ri,4,startup,Immunexpress (SeptiCyte RAPID),FDA_cleared,FDA-cleared host-response sepsis panel (~1 hr); pairs with IAIP therapeutic staging,https://immunexpress.com/,Host-response gene panel → FDA clearance → hospital lab,BARDA DRIVe $744K of $3.2M (Feb 2019),Critical care + lab medicine,3200000,,3200000,grant,https://www.prnewswire.com/news-releases/immunexpress-secures-barda-contract-for-the-continued-development-of-septicyte-for-the-rapid-and-accurate-diagnosis-of-sepsis-300790510.html,Non-dilutive → commercial,verified,high,web_verify_2026_05
prothera_iaip_ri,5,startup,Inflammatix (TriVerity),FDA_cleared_2025,Sepsis host-response Dx; FDA clearance Jan 2025; Monaghan-adjacent RNA panel,https://www.inflammatix.com/,FDA clearance → ICU sepsis adoption,>$200M VC; $57M Series E (Sep 2024),Critical care diagnostics,200000000,57000000,200000000,total_raised,https://inflammatix.com/inflammatix-secures-57-million-to-advance-novel-diagnostic-for-patients-with-suspected-infections-or-sepsis/,Dx VC → hospital contracts,verified,high,web_verify_2026_05
